e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,h,e,h,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b
1473,1849,1989,2139,2243,2323,2513,2659,2777,2887,2999,3091,3197,3277,3411,3567,3695,3801,3919,4013,4119,4241,4355,4437,4585,4789,4957,5087,5195,5313,5403,5509,5631,5747,5827,6097,6271,6403,6535,6655,6761,6871,6969,7077,7197,7311,7393,7689,7867,7981,8061,8191,8341,8465,8583,8701,8799,8907,9025,9141,9223,9485,9633,9753,9853,9971,10089,10169,11193,11363,11509,11623,11703,11831,11983,12105,12215,12297,12425,12575,12693,12805,12925,13021,13127,13253,13371,13451
1591,1881,2029,2207,2307,2375,2585,2729,2847,2957,3059,3151,3267,3333,3493,3639,3763,3869,3979,4069,4213,4329,4423,4495,4665,4841,5005,5159,5267,5373,5463,5607,5717,5815,5881,6147,6321,6459,6611,6729,6837,6935,7029,7173,7285,7381,7449,7741,7925,8053,8119,8275,8419,8543,8655,8763,8861,9007,9111,9209,9279,9539,9685,9811,9953,10057,10157,10217,11241,11419,11585,11693,11765,11913,12057,12181,12287,12351,12503,12645,12767,12877,12989,13085,13227,13341,13441,13513
