e,e,e,h,e,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,e,h,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,h,h,j,d,d,c,b
1841,1989,2335,2495,2647,3135,3307,3493,3647,3787,3891,3973,4101,4251,4371,4481,4593,4687,4793,4871,5017,5211,5393,5571,5699,5827,5933,6047,6145,6251,6369,6483,6565,6695,6887,7073,7289,7399,7483,7609,7765,7893,8005,8121,8217,8323,8441,8553,8639,8777,8933,9073,9189,9269,9405,9643,9817,9947,10059,10183,10277,10383,10505,10619,10703,10835,11039,11219,11335,11439,11559,11671,11753,12413,12597,12727,12865,12971,13055,13185,13383,13559,13677,13779,13897,14013,14097
1873,2089,2399,2541,2707,3175,3355,3553,3699,3865,3969,4035,4181,4327,4447,4549,4653,4743,4861,4933,5095,5261,5445,5627,5755,5905,6003,6109,6205,6351,6459,6551,6621,6775,6939,7127,7343,7473,7539,7689,7843,7969,8077,8183,8277,8421,8529,8629,8691,8855,9011,9151,9257,9327,9483,9697,9863,10025,10131,10241,10335,10483,10595,10687,10755,10915,11087,11269,11391,11537,11643,11743,11811,12457,12651,12779,12939,13043,13113,13269,13433,13609,13739,13881,13993,14085,14153
