h,k,h,h,e,h,f,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,e,h,f,c,b,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,k,d,d,c,b
1983,2471,2835,3013,3251,3609,3745,3985,4143,4281,4389,4471,4615,4773,4897,5001,5115,5213,5319,5439,5551,5631,5769,5937,6061,6169,6251,6379,6585,6731,6871,6985,7107,7203,7315,7441,7557,7639,7773,7943,8071,8191,8275,8425,8631,8795,8927,9037,9169,9289,9371,9511,9675,9807,9925,10051,10149,10255,10391,10503,10591,10873,11061,11247,11447,11579,11685,11815,11937,12019
2033,2507,2873,3041,3315,3659,3813,4049,4197,4353,4459,4531,4695,4847,4965,5069,5175,5271,5411,5519,5623,5687,5845,6009,6135,6243,6311,6459,6639,6783,6949,7061,7165,7263,7415,7527,7629,7703,7853,8017,8145,8259,8333,8503,8679,8849,8983,9131,9249,9351,9427,9585,9739,9875,9991,10111,10201,10357,10473,10567,10643,10917,11109,11291,11493,11635,11781,11893,11999,12071
