h,e,h,e,e,h,f,c,b,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b
1639,1841,1983,2161,2373,2541,2683,2789,2869,3149,3309,3451,3557,3637,3757,3903,4031,4139,4255,4347,4451,4531,4709,4861,4987,5095,5207,5301,5407,5521,5639,5715,5855,6013,6135,6261,6367,6485,6577,6679,6761,6895,7069,7241,7357,7457,7575,7687,7767,7933,8115,8319,8487,8637,8761,8873,8989,9085,9191,9271,9397,9561,9681,9787,9899,9995,10099,10177,10307,10467,10593,10707,10825,10919,11027,11147,11261,11343,11489,11665,11859,12047,12205,12333,12461,12545,12679,12881,13075,13207,13305,13425,13543,13625
1671,1899,2031,2227,2429,2589,2755,2853,2923,3191,3351,3525,3623,3689,3835,3981,4105,4209,4313,4407,4515,4583,4783,4933,5061,5161,5271,5359,5507,5607,5699,5767,5931,6087,6209,6335,6435,6541,6631,6747,6817,6971,7121,7291,7413,7549,7663,7751,7819,8007,8167,8435,8561,8711,8835,8943,9051,9143,9257,9323,9475,9637,9757,9855,9955,10051,10167,10227,10385,10545,10671,10779,10885,10983,11127,11233,11327,11395,11565,11715,11961,12123,12285,12411,12529,12599,12757,12933,13125,13261,13407,13515,13611,13681
