e,e,h,e,h,h,f,c,b,k,f,f,c,h,h,h,f,c,b,k,h,e,k,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b
1993,2261,2417,2565,2753,2937,3095,3201,3281,3441,3593,3711,3815,4265,4427,4593,4727,4829,4911,5047,5227,5409,5645,5783,5889,6011,6101,6209,6287,6407,6589,6781,6959,7107,7231,7335,7451,7547,7651,7731,7853,8005,8133,8241,8359,8455,8559,8683,8801,8879,9077,9257,9417,9541,9641,9765,9879,9959,10883,11059,11253,11401,11521,11631,11709,11845,12021,12183,12299,12399,12517,12629,12711
2025,2329,2463,2629,2785,2983,3165,3271,3337,3513,3665,3783,3879,4311,4479,4641,4799,4901,4965,5121,5281,5577,5695,5857,5955,6071,6167,6275,6343,6487,6637,6901,7033,7181,7303,7403,7511,7601,7717,7783,7931,8075,8205,8307,8421,8515,8663,8771,8867,8933,9151,9305,9469,9601,9739,9853,9945,10011,10925,11173,11329,11475,11597,11699,11765,11923,12077,12235,12357,12497,12603,12697,12767
