e,h,e,h,h,h,f,c,b,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,k,f,f,c,b,k,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,f,f,c,b,k,f,f,c,b,k,h,h,g,j,d,d,c,b
1655,1987,2165,2353,2525,2713,2861,2963,3043,3259,3463,3675,3829,3985,4103,4215,4327,4423,4533,4613,4747,4903,5025,5135,5249,5345,5453,5535,5671,5835,5967,6077,6191,6285,6393,6515,6625,6709,6885,7081,7271,7393,7489,7615,7731,7813,8053,8249,8423,8577,8697,8801,8883,9015,9301,9483,9583,9665,9801,9955,10079,10189,10307,10401,10507,10589,10735,10943,11125,11249,11383,11487,11573,11707,11885,12009,12123,12205,12375,12575,12793,12975,13075,13181,13305,13421,13505
1701,2029,2223,2393,2571,2757,2935,3025,3101,3303,3517,3771,3899,4059,4179,4279,4387,4483,4595,4663,4821,4979,5099,5209,5311,5405,5523,5589,5747,5911,6041,6145,6251,6343,6493,6597,6695,6761,6959,7129,7323,7447,7589,7699,7795,7863,8101,8353,8497,8651,8771,8867,8937,9093,9351,9525,9651,9717,9877,10033,10157,10259,10367,10463,10573,10645,10815,10995,11181,11327,11457,11563,11629,11787,11963,12089,12193,12261,12457,12627,12847,13029,13135,13283,13393,13491,13559
