e,h,e,e,h,e,h,h,f,c,b,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h
633,797,941,1163,1359,1527,1823,1981,2139,2243,2325,2943,3091,3443,3535,3717,3893,4023,4131,4213,4357,4511,4635,4743,4859,4953,5061,5141,5403,5555,5681,5783,5903,6015,6097,6289,6473,6633,6753,6859,6977,7093,7173,7307,7481,7617,7729,7843,7937,8043,8161,8279,8357,8549,8711,8899,9005,9089,9217,9373,9499,9607,9691,9819,10005,10181,10309,10409,10525,10645,10727,11695
669,827,999,1233,1391,1575,1855,2029,2211,2303,2373,2979,3133,3471,3585,3769,3945,4095,4207,4271,4437,4583,4709,4811,4921,5011,5127,5201,5461,5615,5743,5887,5985,6081,6149,6361,6525,6683,6811,6961,7067,7161,7223,7377,7553,7691,7797,7899,7995,8137,8251,8341,8411,8625,8765,8951,9073,9145,9297,9451,9573,9677,9745,9895,10051,10229,10361,10509,10617,10711,10781,11721
