h,e,h,e,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,h,h,j,d,d,c,b
1675,1811,1991,2141,2313,2539,2723,2879,3047,3231,3369,3475,3557,3689,3831,3951,4063,4173,4271,4377,4457,4583,4751,4867,4991,5071,5195,5393,5589,5769,5923,6047,6153,6269,6363,6467,6553,6687,6843,6969,7077,7189,7287,7389,7511,7629,7709,7847,8007,8135,8249,8373,8467,8573,8657,8791,8985,9511,9665,9801,9903,10025,10137,10217,10363,10525,10647,10755,10837,10971,11145,11273,11383,11501,11597,11705,12109,12269,12397,12499,12623,12739,12823
1703,1875,2023,2199,2373,2577,2765,2927,3119,3285,3447,3537,3613,3759,3907,4027,4129,4231,4325,4439,4513,4661,4825,4943,5057,5121,5273,5441,5697,5845,5999,6121,6223,6331,6419,6531,6607,6765,6919,7047,7147,7249,7345,7497,7601,7695,7761,7927,8083,8213,8319,8431,8523,8639,8709,8867,9037,9545,9713,9857,10005,10107,10199,10291,10445,10601,10725,10827,10897,11057,11225,11355,11461,11565,11659,11775,12165,12319,12457,12605,12715,12811,12875
