e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,h,e,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k
1973,2183,2363,2519,2701,2883,3025,3129,3209,3337,3497,3617,3729,3841,3937,4041,4159,4273,4349,4511,4671,4799,4911,5025,5121,5225,5349,5463,5545,5681,5837,5973,6083,6197,6291,6403,6527,6645,6723,6921,7109,7287,7427,7565,7669,7787,7885,7993,8113,8227,8309,8455,8615,8911,9095,9289,9455,9613,9735,9847,9965,10063,10169,10293,10409,10491,10643,10827,10995,11115,11221,11347,11463,11543,11691,12041,12221,12365,12517,12633,12715,12845,13007,13137,13249,13369,13465,13573,13697,13817,13899,14031,14191,14327,14443,14525,14675,14885,15327,15501,15681,15853,16051,16199,16303,16389,16523,16689,16823,16941,17025,17163,17381,17569,17695,17801,17929,18047,18129,18291,18469,18597,18713,18795,18951
2023,2243,2403,2579,2769,2929,3093,3189,3261,3409,3569,3691,3799,3895,3995,4135,4245,4337,4407,4587,4745,4873,4983,5087,5183,5323,5431,5535,5603,5759,5913,6045,6153,6259,6353,6499,6613,6715,6783,6995,7159,7343,7483,7641,7741,7849,7945,8097,8199,8295,8367,8537,8689,8965,9159,9391,9533,9687,9813,9921,10029,10129,10267,10383,10485,10555,10723,10879,11047,11179,11321,11433,11535,11605,11771,12093,12281,12419,12597,12705,12775,12927,13085,13215,13325,13433,13529,13673,13787,13887,13957,14111,14265,14403,14517,14587,14757,14937,15381,15555,15735,15917,16107,16275,16375,16447,16607,16765,16901,17013,17079,17243,17431,17623,17757,17903,18019,18119,18189,18371,18547,18677,18787,18851,19031
