h,h,f,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,j,d,d,c,b,k,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
823,1849,1995,2109,2189,2717,2887,3071,3207,3337,3437,3521,3717,3873,3997,4109,4219,4317,4423,4545,4659,4741,4875,5051,5225,5361,5459,5577,5695,5775,5907,6067,6191,6307,6421,6519,6631,6755,6871,6951,7149,7335,7459,7557,7663,7745,7881,8049,8177,8291,8429,8529,8643,8723,8859,9013,9141,9257,9383,9485,9589,9719,9833,9915
849,1883,2063,2169,2243,2755,2935,3103,3245,3405,3503,3575,3787,3943,4069,4175,4281,4373,4519,4631,4727,4795,4945,5097,5269,5411,5559,5661,5759,5823,5983,6139,6263,6369,6475,6577,6723,6841,6931,7001,7223,7399,7515,7605,7727,7795,7949,8121,8251,8359,8481,8583,8711,8781,8939,9087,9219,9327,9445,9545,9683,9807,9905,9973
