e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,h,h,e,k,f,h,h,h,j,d,d,c,b,k,h,e,k,f,f,h,h,h,h,e,c,b,k,f,k,k,h,j,c,b,k,f,f,c,b,k,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
359,1221,1361,1629,1817,1987,2119,2225,2309,2455,2611,2737,2851,2971,3067,3175,3253,3415,3577,3715,3831,3941,4041,4147,4229,4455,4617,4811,5009,5165,5433,5595,5747,5869,5975,6099,6211,6293,6425,6649,6857,7017,7169,7293,7543,7693,7905,8055,8253,8361,8445,8577,8741,8959,9143,9301,9421,9525,9603,9735,9885,10015,10127,10215,10339,10641,10843,11053,11173,11255,11383,11543,11673,11789,11903,11997,12101,12223,12341,12423,12569,12727,12849,12965,13049
469,1249,1423,1661,1845,2029,2195,2295,2363,2531,2687,2813,2921,3029,3121,3237,3309,3489,3651,3789,3895,4001,4097,4213,4283,4503,4669,4943,5087,5241,5487,5649,5799,5927,6075,6183,6281,6343,6505,6695,6947,7089,7243,7369,7593,7749,7957,8111,8305,8435,8503,8657,8817,9037,9193,9353,9477,9591,9661,9811,9961,10091,10197,10271,10419,10687,10897,11109,11245,11313,11463,11621,11753,11859,11965,12057,12201,12313,12411,12481,12643,12805,12927,13031,13103
