h,h,e,e,h,f,c,b,k,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,b,k,f,f,c,b,k,h,f,c,b,j,d,d,c,b,k,f,f,c,b,k,h,h,h,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d
1171,1347,1531,1735,1865,1995,2099,2179,2327,2481,2585,2695,2791,2893,3013,3123,3203,3369,3559,3691,3803,3911,4007,4113,4231,4343,4427,4583,4717,4839,4947,5063,5159,5265,5347,5471,5659,5815,5943,6051,6133,6263,6425,6549,6657,6775,6871,6977,7097,7209,7287,7453,7651,7839,7973,8111,8217,8303,8455,8581,8715,8823,8941,9039,9145,9269,9389,9469,9689,9873,10059,10173,10257,10401,10555,10679,10793,10877,11015,11207,11365,11481,11599,11695,11799,11921,12037,12117,12275,12431,12563,12679,12765,12887,13103,13403,14209,14381,14549,14671,14773,14897,15013,15093,15585,15757,15881,16013,16117,16201,16339,16491,16611,16719,16833,16931,17039,17163,17279,17363,17503,17663,17785,17899,18019,18117,18229,18359,18471,18553,19239,19415,19543,19683,19793,19881,20021,20173,20307,20417,20537,20637,20745,20873
1197,1375,1563,1767,1901,2061,2163,2229,2397,2547,2647,2745,2837,2985,3093,3183,3255,3437,3621,3751,3865,3967,4055,4207,4313,4407,4473,4631,4785,4907,5013,5111,5211,5327,5393,5543,5701,5861,6015,6119,6181,6343,6497,6619,6723,6837,6927,7073,7177,7273,7345,7527,7701,7887,8025,8181,8279,8355,8505,8655,8787,8891,9001,9095,9245,9357,9453,9521,9767,9923,10111,10239,10313,10483,10629,10749,10863,10927,11095,11255,11439,11555,11657,11755,11899,12007,12099,12165,12345,12503,12637,12751,12819,12967,13153,13451,14249,14423,14595,14723,14877,14983,15077,15143,15615,15803,15925,16083,16183,16253,16413,16565,16685,16787,16885,16985,17139,17247,17343,17411,17577,17735,17861,17963,18075,18173,18329,18441,18535,18605,19275,19451,19587,19757,19861,19929,20095,20247,20383,20483,20599,20693,20847,20957
