e,h,e,h,e,e,h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,h,h,j,d,d,c,b
1811,1993,2129,2347,2489,2719,3093,3289,3693,3879,4039,4177,4287,4367,4501,4653,4775,4885,5003,5099,5209,5337,5451,5529,6049,6215,6355,6465,6547.4,6685,6833,6957,7073,7185,7281,7387,7465,7653,7807,7933,8043,8161,8255,8363,8487,8601,8679,9085,9265,9397,9531,9635,9719,9855,10005,10127,10239,10357,10455,10561,10687,10805,10887,11023,11189,11533,11687,11813,11919,12047,12163,12243
1891,2033,2221,2379,2575,2847,3137,3423,3735,3933,4095,4251,4361,4423,4583,4729,4853,4953,5065,5161,5311,5425,5523,5589,6109,6271,6433,6540.5,6613,6761,6911,7037,7149,7245,7343,7457,7527,7727,7883,8011,8111,8217,8309,8461,8571,8667,8743,9139,9329,9453,9605,9703,9773,9937,10083,10205,10309,10419,10513,10665,10775,10881,10943,11095,11265,11585,11739,11873,12021,12137,12237,12305
