e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,j,d,d,c,b,k,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b
1065,1355,1519,1667,1845,1987,2091,2167,2295,2443,2561,2667,2773,2865,2971,3087,3199,3273,3543,3703,3883,4045,4149,4265,4377,4455,4579,4759,4871,4961,5063,5177,5287,5365,5509,5679,5869,6053,6199,6317,6423,6533,6625,6727,6805,6941,7087,7203,7315,7399,7579,7775,7941,8071,8169,8283,8399,8479,8609,8771,8891,9001,9115,9209,9317,9393
1125,1421,1557,1727,1881,2055,2151,2219,2369,2515,2629,2731,2827,2921,3069,3171,3257,3325,3591,3753,3999,4097,4247,4349,4437,4503,4649,4823,4929,5015,5157,5259,5355,5421,5583,5727,5977,6129,6271,6389,6491,6593,6683,6791,6859,7013,7159,7275,7383,7451,7655,7823,7989,8123,8269,8371,8459,8529,8681,8845,8963,9069,9171,9269,9383,9451
