h,e,h,h,e,h,f,c,b,k,f,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,h,h,e,h,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,h,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,e,h,f,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b
1051,1195,1813,1993,2203,2357,2501,2609,2689,2853,3013,3175,3441,3607,3733,3815,3945,4101,4225,4331,4449,4545,4651,4773,4887,4971,5325,5487,5663,5789,5915,6021,6103,6229,6379,6505,6631,6741,6859,6953,7057,7177,7289,7371,8087,8279,8459,8603,8727,8841,8923,9055,9237,9385,9559,9691,9821,9943,10055,10137,10265,10419,10545,10655,10739,10893,11101,11249,11373,11473,11599,11711,11793,11925,12089,12217,12349,12431,12565,12721,13655,13815,13985,14111,14251,14371,14477,14591,14685,14795,14917,15033,15115,15289,15449,15573,15687,15773,15899,16049,16179,16297,16411,16509,16619,16741,16863,16945,17079,17319,17453,17607,17715,17801,17939,18095,18221,18331,18415,18581,18825,19009,19135,19239,19361,19475,19561
1083,1255,1843,2023,2259,2403,2571,2673,2743,2927,3087,3249,3489,3661,3803,3875,4019,4175,4297,4403,4507,4601,4749,4859,4951,5021,5367,5529,5703,5833,5989,6091,6163,6309,6451,6579,6707,6809,6919,7013,7157,7261,7359,7423,8117,8387,8533,8679,8801,8909,8983,9135,9285,9435,9615,9741,9899,10021,10121,10193,10343,10495,10621,10723,10793,10965,11147,11305,11433,11573,11687,11785,11855,12003,12163,12293,12415,12485,12641,12797,13687,13861,14031,14161,14329,14445,14545,14653,14743,14897,15007,15103,15171,15363,15525,15651,15755,15827,15979,16127,16257,16371,16471,16567,16717,16831,16929,16999,17157,17373,17503,17683,17789,17857,18015,18171,18297,18399,18469,18663,18877,19063,19197,19339,19453,19543,19617
