e,j,e,h,h,e,h,e,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,f,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,g,j,c,b,k,k,h,j,d,d,c,b,h,e,h,j,d,d,d,c,b,k,h,h
571,2043,2165,2655,2823,3035,3181,3373,3573,3731,3871,3973,4055,4183,4335,4455,4563,4645,4777,4969,5131,5247,5349,5465,5585,5705,5785,5917,6079,6199,6307,6421,6515,6621,6737,6853,6933,7067,7223,7341,7451,7569,7661,7769,7893,8013,8095,8243,8433,8619,8791,8949,9071,9199,9307,9423,9517,9623,9703,9831,10539,10691,10879,10983,11063,11189,11335,11455,11567,11681,11773,11879,11961,12097,12357,12539,12667,12767,12889,13005,13087,13779,13951,14089,14213,14313,14433,14555,14667,14747,14881,15087,15675
617,2069,2239,2691,2861,3077,3229,3435,3629,3779,3943,4041,4111,4261,4409,4529,4631,4703,4851,5017,5181,5305,5447,5561,5677,5771,5831,5991,6155,6271,6377,6481,6573,6715,6827,6921,6991,7143,7293,7415,7523,7631,7723,7873,7987,8083,8149,8317,8481,8735,8867,9027,9149,9277,9377,9483,9579,9689,9759,9911,10585,10741,10929,11053,11117,11267,11413,11533,11631,11739,11831,11947,12013,12177,12435,12587,12721,12869,12975,13075,13141,13823,13997,14137,14267,14413,14525,14643,14729,14791,14955,15131,15717
