h,f,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,h,k,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b
65,197,299,429,523,623,745,859,939,1989,2189,2337,2471,2571,2689,2805,2889,3019,3215,3379,3509,3611,3731,3851,3933,4119,4275,4407,4515,4597,4725,4921,5087,5255,5371,5471,5593,5705,5787,5937,6099,6225,6333,6415,6545,6705,6833,6939,7053,7149,7257,7381,7497,7579,7973,8167,8365,8513,8641,8749,8833,8959,9151,9327,9593,9677,9807,9965,10091,10201,10285,10429,10633,10805,10925,11027,11145,11265,11343,11683,11817,11923,12041,12135,12243,12365,12483,12563,13033,13199,13337,13453,13567,13649,13777,13941,14069,14177,14293,14391,14495,14617,14733,14821
103,263,359,483,577,717,831,921,989,2025,2221,2383,2515,2665,2771,2869,2935,3089,3261,3429,3561,3711,3825,3913,3979,4189,4347,4475,4581,4643,4795,4963,5135,5301,5423,5571,5683,5769,5835,6007,6171,6297,6397,6463,6619,6775,6905,7001,7113,7199,7359,7465,7557,7627,8019,8279,8437,8585,8711,8807,8877,9031,9193,9373,9663,9729,9879,10039,10165,10271,10335,10505,10679,10853,10977,11125,11235,11325,11395,11727,11889,11985,12097,12191,12343,12453,12547,12615,13075,13243,13407,13527,13633,13699,13853,14015,14141,14245,14353,14441,14595,14709,14791,14863
