h,h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,e,k,h,h,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,e,h,e,h,f,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b
523,813,1325,1807,1975,2169,2349,2497,2637,2737,2817,2961,3115,3237,3341,3453,3547,3653,3773,3887,3967,4095,4291,4451,4577,4677,4795,4907,4987,5119,5277,5403,5509,5593,5723,5883,6019,6123,6237,6331,6437,6519,6645,6797,6915,7031,7141,7237,7343,7425,7561,7723,7843,7959,8073,8165,8273,8353,8485,8697,8863,9035,9195,9313,9413,9537,9653,9733,9883,10071,10249,10381,10507,10617,10733,10829,10935,11059,11171,11251,11385,11533,11661,11775,11857,12485,12641,12815,12935,13121,13241,13383,13487,13577,13699,13851,13969,14081,14165,14321,14505,14615,14711,14817,14941,15055,15137
553,841,1415,1839,2023,2229,2405,2543,2703,2799,2867,3035,3185,3309,3413,3513,3605,3755,3857,3951,4019,4165,4335,4499,4629,4773,4879,4971,5041,5191,5347,5475,5579,5639,5799,5953,6091,6187,6291,6387,6499,6567,6715,6869,6987,7099,7201,7293,7405,7475,7635,7795,7921,8025,8131,8219,8337,8405,8561,8761,8937,9085,9241,9367,9519,9627,9715,9785,9957,10121,10299,10455,10579,10683,10795,10885,11033,11145,11237,11307,11459,11609,11737,11841,11909,12529,12689,12863,12985,13163,13293,13457,13557,13625,13775,13925,14045,14147,14215,14401,14573,14675,14767,14915,15031,15119,15191
