e,h,e,h,h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,h,k,j,d,d,c,b
55,233,405,893,1087,1281,1469,1637,1789,1963,2109,2215,2299,2429,2591,2715,2825,2949,3045,3153,3235,3371,3527,3657,3767,3885,3981,4091,4175,4301,4455,4583,4693,4815,4915,5023,5145,5263,5347,5521,5791,5943,6099,6223,6333,6459,6555,6663,6785,6901,6985,7121,7287,7413,7523,7609,7743,7917,8057,8191,8303,8399,8509,8641,8757,8845,9297,9473,9619,9751,9859,9943,10071,10235,10359,10473,10559,10693,10893,11087,11209,11311,11433,11549,11631
127,269,469,921,1119,1309,1495,1685,1849,2015,2177,2279,2351,2503,2663,2791,2895,3009,3099,3217,3287,3447,3601,3729,3835,3945,4041,4159,4227,4373,4531,4655,4759,4869,4969,5121,5237,5329,5401,5599,5875,6019,6175,6299,6401,6519,6615,6759,6871,6969,7037,7199,7361,7489,7591,7661,7819,7991,8129,8259,8363,8455,8613,8731,8823,8893,9345,9527,9671,9827,9929,10001,10153,10313,10437,10543,10611,10765,10943,11133,11271,11411,11525,11611,11681
