e,h,e,h,e,e,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,c,b,k,f
1347,1507,1635,1835,1981,2189,2811,2967,3201,3513,3651,3757,3837,3977,4139,4273,4391,4499,4595,4703,4785,4925,5077,5209,5323,5409,5537,5727,5899,6025,6127,6247,6361,6441,6595,6817,7285,7453,7611,7739,7843,7963,8079,8159,8929,9121,9265,9401,9507,9589,9723,9875,9997,10105,10223,10317,10425,10547,10663,10745,11017,11163,11277,11381,11499,11611,11693,11825,12011,12207,12323,12405,12529,12689
1373,1533,1709,1869,2049,2257,2837,3011,3303,3555,3725,3827,3895,4055,4215,4349,4461,4559,4655,4769,4845,5001,5155,5285,5399,5463,5617,5781,5951,6083,6225,6331,6431,6503,6675,6869,7339,7507,7665,7803,7947,8053,8147,8217,8981,9183,9321,9475,9581,9653,9805,9947,10073,10181,10285,10383,10525,10635,10737,10801,11067,11217,11341,11483,11587,11683,11753,11905,12063,12265,12399,12467,12611,12765
