e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,k
1979,2133,2279,2383,2465,2607,2759,2883,2993,3111,3211,3319,3405,3539,3697,3879
2029,2177,2351,2453,2523,2685,2835,2961,3061,3175,3267,3387,3455,3619,3771,3953
