h,e,h,e,h,h,h,h,f,f,c,g,j,d,d,c,b,k,h,e,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b,k,e,c,b,k,f,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
451,579,785,937,1331,1535,1799,1981,2127,2243,2347,2471,2567,2675,2795,2909,2993,3285,3503,3685,4121,4341,4513,4667,4791,4899,5021,5113,5223,5303,5433,5591,5719,5827,5943,6039,6147,6265,6381,6461,6621,6831,6993,7113,7215,7337,7453,7535,8031,8203,8345,8481,8589,8673,8813,8967,9087,9201,9285,9413,9661,9781,9863,9993,10149,10637,10815,10927,11007,11147,11307,11435,11547,11665,11761,11865,11989,12103,12189,12327,12587,12873,13031,13145,13231,13353,13521,13645,13757,13841,13983,14483,14651,14767,14871,14997,15111,15195
477,641,813,997,1359,1567,1831,2029,2197,2315,2413,2525,2621,2773,2881,2975,3045,3361,3551,3827,4155,4407,4583,4739,4865,4963,5081,5177,5287,5357,5507,5663,5791,5895,6001,6095,6247,6353,6445,6517,6695,6879,7043,7169,7313,7425,7521,7589,8079,8259,8401,8557,8653,8727,8887,9041,9159,9271,9335,9493,9715,9847,9917,10071,10227,10685,10863,10995,11063,11223,11383,11513,11619,11723,11817,11969,12075,12167,12239,12399,12665,12917,13087,13213,13287,13435,13595,13721,13827,13895,14067,14529,14699,14821,14975,15083,15175,15243
