e,h,e,h,e,h,f,c,b,k,f,f,c,b,j,c,b,k,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b,k,f,f,c,b
851,1023,1249,1409,1623,1863,1995,2095,2175,2315,2471,2591,2695,2809,2901,3005,3081,3211,3373,3477,3585,3683,3785,3903,4013,4091,4221,4371,4497,4607,4719,4813,4919,5035,5147,5227,5387,5603,5815,5951,6103,6227,6329,6449,6541,6645,6763,6879,6957,7109,7343,7553,7743,7879,7983,8099,8193,8295,8413,8527,8607,8743,8897,9023,9137,9219,9359,9517,9639,9751,9833,9981,10165,10345,10519,10661,10743,10863,11019,11139,11245,11363,11461,11567,11687,11805,11885,12285,12503,12735,12883,12985,13069,13199,13367,13493,13605,13689
887,1049,1295,1439,1735,1901,2061,2157,2219,2383,2539,2659,2757,2855,2951,3061,3129,3283,3443,3537,3637,3733,3879,3985,4071,4137,4289,4443,4567,4671,4777,4865,5013,5119,5211,5277,5457,5647,5897,6025,6173,6297,6397,6507,6599,6741,6847,6943,7009,7181,7391,7647,7791,7951,8053,8157,8247,8397,8501,8589,8657,8815,8971,9093,9203,9269,9433,9587,9715,9817,9881,10053,10213,10395,10567,10723,10795,10937,11093,11217,11315,11419,11517,11671,11779,11869,11939,12337,12589,12783,12955,13049,13119,13273,13437,13565,13673,13735
