e,e,e,h,e,e,h,f,c,b,k,k,h,e,h,f,c,g,j,d,d,c,b,h,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,h,h,e,h,h,e,e,h,f,c,b,k,f,f,c,b,h,h,h,h,e,h,f,c,b,k,h,h,j,d,d,c,b
1515,1809,1985,2183,2359,2575,2745,2897,2999,3079,3233,3419,3631,3825,4061,4209,4317,4435,4529,4637,4759,4875,4955,5223,5405,5583,5705,5847,5951,6071,6167,6273,6399,6511,6591,6721,6881,7013,7131,7251,7345,7455,7537,7693,7847,7971,8087,8207,8301,8413,8537,8653,8731,9149,9335,9455,9563,9683,9799,9885,10023,10215,10457,10631,10787,10919,11039,11157,11255,11365,11487,11603,11685,11855,12259,12437,12583,12723,12847,12957,13079,13175,13285,13415,13531,13615,13791,13947,14087,14199,14283,14643,14803,15007,15355,15545,15725,15913,16055,16193,16301,16387,16545,16703,16843,16957,17043,18023,18215,18487,18657,18833,18981,19115,19219,19305,19467,19675,19849,19975,20077,20209,20323,20411
1551,1865,2035,2213,2421,2627,2789,2963,3065,3135,3303,3493,3681,3959,4109,4281,4387,4493,4585,4731,4841,4935,5007,5271,5459,5639,5757,5923,6027,6131,6227,6375,6481,6577,6653,6801,6959,7089,7207,7313,7405,7525,7591,7767,7923,8047,8161,8269,8367,8511,8621,8721,8791,9197,9379,9519,9661,9771,9863,9941,10103,10267,10577,10711,10867,10995,11109,11221,11319,11461,11573,11677,11745,11933,12311,12497,12641,12801,12923,13029,13143,13237,13389,13503,13599,13673,13869,14023,14163,14269,14341,14697,14859,15127,15411,15601,15785,15979,16109,16271,16375,16443,16627,16779,16921,17033,17103,18075,18265,18531,18713,18893,19037,19191,19293,19367,19547,19729,19903,20035,20177,20295,20399,20469
