e,e,h,h,h,e,e,h,f,c,b,k,f,c,b,k,f,f,c,g,j,d,d,c,b,k,k,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,h,h,e,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1167,1323,1989,2171,2333,2501,2699,2833,2965,3065,3143,3271,3437,3557,3637,3765,3915,4041,4147,4263,4357,4463,4577,4687,4767,4909,5099,5279,5389,5467,5587,5755,5875,5987,6105,6197,6303,6381,6509,6667,6809,6915,6997,7389,7545,7723,7885,8093,8279,8441,8587,8703,8807,8925,9017,9121,9239,9351,9429,9591,9773,9923,10039,10143,10263,10383,10459
1203,1469,2029,2211,2381,2567,2759,2881,3037,3135,3201,3351,3513,3627,3697,3843,3991,4113,4217,4325,4417,4555,4661,4757,4825,4985,5147,5335,5457,5529,5663,5829,5953,6061,6167,6259,6373,6441,6589,6743,6885,6991,7057,7439,7597,7833,7961,8143,8387,8515,8661,8781,8881,8987,9081,9217,9325,9425,9491,9669,9825,9977,10103,10245,10349,10453,10521
