e,e,h,e,e,k,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b
229,603,1131,1383,1601,1781,1983,2173,2363,2541,2699,2805,2887,3065,3223,3355,3469,3585,3679,3783,3909,4023,4107,4751,4945,5111,5287,5417,5525,5607,5739,5895,6023,6137,6251,6345,6453,6533
291,653,1163,1435,1689,1845,2027,2219,2421,2585,2767,2873,2939,3135,3295,3427,3531,3645,3735,3885,3995,4089,4155,4781,4975,5147,5323,5493,5593,5657,5815,5969,6101,6205,6311,6407,6519,6581
