h,e,h,h,e,e,h,f,c,b,h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,f,f,c,b,k,h,h,h,c,b,k,f
1983,2159,2699,2899,3061,3273,3439,3581,3691,3769,4359,4535,4767,4913,5053,5165,5247,5379,5525,5647,5765,5879,5975,6077,6155,6657,6837,6987,7137,7275,7387,7471,7597,7747,7869,7991,8103,8197,8303,8425,8543,8625,8795,9001,9163,9295,9399,9519,9635,9715,9847,9995,10117,10229,10311,10447,10673,10871,11067,11191,11271,11397,11549
2027,2221,2749,2955,3125,3343,3495,3657,3763,3825,4413,4583,4837,4959,5129,5235,5303,5453,5601,5725,5835,5939,6037,6147,6213,6695,6883,7047,7189,7353,7461,7531,7679,7823,7947,8059,8165,8257,8407,8515,8613,8681,8851,9063,9221,9357,9501,9605,9707,9777,9927,10075,10197,10299,10371,10529,10725,10933,11107,11261,11337,11483,11629
