e,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,c,g,j,d,d,c,b,k,f,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,h,h,k,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,e,k,f,f,c,b,k,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f
1593,1813,1975,2189,2361,2525,2697,2835,2941,3025,3185,3341,3461,3571,3683,3781,3885,4007,4143,4219,4583,4733,4863,4969,5085,5177,5281,5401,5517,5599,5727,5879,6009,6135,6241,6363,6457,6563,6683,6797,6881,7021,7177,7307,7417,7501,7667,7855,8025,8141,8247,8367,8485,8563,9007,9193,9335,9487,9613,9729,9811,9935,10091,10219,10331,10449,10545,10651,10777,10891,10973,11975,12139,12301,12449,12577,12687,12773,12907,13055,13183,13293,13411,13509,13617,13697,13817,13971,14093,14201,14287,14447,14633,14813,14983,15343,15485,15651,15773,15875,16001,16115,16197,16327,16481,16603,16719,16837,16933,17045,17167,17283,17365,17583,17741,17861,17979,18061,18211,19087,19277,19437,19595,19733,19845,19931,20059,20275,20485,20591,20675,20815,20971,21103,21215,21299,21447,21647,21809,21931,22037,22163,22279,22359,22535,22687,22821,22939,23059,23159,23267,23351,23485,23673,23805
1657,1865,2013,2225,2401,2577,2741,2905,2999,3073,3259,3411,3531,3635,3743,3835,3981,4085,4207,4271,4629,4777,4935,5035,5141,5235,5383,5485,5585,5649,5803,5953,6081,6205,6309,6423,6515,6659,6771,6863,6929,7097,7251,7381,7485,7553,7743,7899,8073,8199,8343,8451,8555,8619,9057,9283,9411,9563,9687,9797,9863,10013,10167,10297,10397,10507,10601,10753,10865,10959,11029,12011,12187,12357,12499,12651,12755,12823,12985,13131,13257,13359,13473,13567,13683,13747,13895,14043,14171,14271,14339,14525,14685,14865,15035,15379,15535,15703,15827,15975,16087,16179,16251,16401,16557,16679,16783,16901,16991,17143,17253,17351,17421,17657,17813,17939,18049,18117,18289,19131,19351,19513,19673,19809,19909,19983,20137,20327,20533,20661,20731,20899,21045,21179,21281,21353,21523,21691,21857,21989,22137,22247,22345,22417,22607,22761,22901,23007,23121,23217,23339,23403,23565,23745,23877
