h,e,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b
479,671,781,865,1835,1983,2153,2281,2421,2527,2609,2731,2881,3007,3123,3205,3327,3481,3599,3703,3815,3913,4017,4057,4101,4361,4517,4643,4751,4875,4969,5077,5159,5289,5453,5571,5689,5809,5905,6021,6147,6261,6343
531,719,851,915,1865,2031,2203,2335,2497,2595,2659,2809,2959,3083,3187,3257,3403,3557,3673,3773,3879,3971,4055,4085,4151,4433,4591,4719,4819,4935,5033,5145,5217,5371,5529,5647,5757,5871,5967,6123,6237,6331,6401
