e,h,e,h,h,h,h,h,e,h,f,c,b,k,f,f,f,c,g,j,c,b,h,h,j,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,k,h,e,k,f,f,c,e
839,1011,1167,1821,1987,2361,2577,2741,2939,3195,3331,3433,3513,3667,3823,3951,4075,4183,4299,4395,4507,4589,4759,4935,5061,5173,5253,5381,5543,5667,5775,5857,5991,6215,6383,6513,6623,6743,6839,6945,7067,7183,7265,7417,7575,7705,7815,7897,8029,8219,8329,8423,8531,8649,8765,8845,8975,9225,9423,9593,9741,9863,9975,10835
887,1045,1215,1849,2027,2391,2605,2777,2999,3233,3397,3499,3565,3743,3893,4025,4149,4245,4355,4451,4573,4637,4801,4977,5127,5239,5301,5459,5617,5743,5843,5913,6069,6261,6429,6591,6695,6803,6897,7045,7155,7245,7315,7493,7649,7781,7885,7947,8103,8285,8389,8481,8629,8741,8831,8903,9053,9277,9529,9669,9819,9941,10045,10897
