e,h,e,h,h,h,f,c,b,k,f,h,e,h,f,c,g,j,d,d,c,b,h,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1137,1319,1475,1807,1993,2173,2305,2409,2489,2663,2829,3045,3245,3373,3503,3609,3719,3815,3915,4035,4147,4225,4501,4649,4801,4919,5023,5139,5257,5339,5463,5611,5745,5857,5977,6069,6173,6297,6409,6489,6623,6783,6907,7019,7103,7227,7391,7525,7635,7751,7845,7949,8067,8181,8263,8423,8631,8749,8881,8993,9107,9201,9309,9429,9547,9627,9769,9923,10057,10165,10249,10383,10569,10755,10903,11019,11123,11249,11363,11447,11953,12105,12285,12413,12543,12645,12729,12861,13007,13131,13245,13331,13469,13665,13849,13969,14071,14191,14309,14391
1195,1351,1525,1839,2021,2209,2373,2475,2547,2739,2899,3093,3291,3419,3577,3679,3775,3867,4011,4119,4213,4281,4551,4699,4855,4977,5121,5229,5319,5389,5537,5685,5817,5921,6029,6123,6275,6385,6473,6539,6695,6857,6981,7089,7151,7311,7469,7601,7709,7811,7905,8047,8151,8251,8317,8467,8675,8801,8957,9067,9165,9259,9411,9519,9615,9685,9845,9999,10133,10235,10305,10463,10621,10809,10955,11079,11225,11341,11433,11503,11991,12155,12339,12463,12619,12715,12787,12941,13085,13207,13319,13383,13549,13715,13897,14023,14171,14281,14379,14439
