e,e,e,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,k,f,f,c,b,k,f,f,c,b
1743,1921,2333,2623,2765,2937,3083,3185,3269,3423,3591,3717,3827,3945,4039,4147,4263,4379,4457,4727,4905,5099,5263,5385,5493,5577,5713,5875,6005,6115,6199
1791,2109,2471,2657,2837,2985,3159,3257,3325,3501,3665,3795,3897,4005,4101,4249,4349,4447,4515,4775,5049,5173,5341,5463,5569,5637,5797,5953,6081,6193,6259
