e,h,e,e,h,e,h,h,h,h,e,f,c,b,k,k,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,e,j,d,d,c,b,k,h,h,e,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b
931,1425,1573,1805,1991,2141,2407,2585,2777,2999,3155,3311,3415,3497,3651,3835,4031,4255,4407,4509,4597,4747,4895,5019,5131,5249,5343,5451,5529,5651,5805,5921,6029,6143,6237,6343,6419,6569,6767,6953,7071,7175,7293,7399,7479,7613,7799,7981,8143,8261,8341,8469,8617,8739,8849,8933,9059,9247,9413,9587,9751,9901,10025,10137,10253,10345,10451,10581,10699,10781,10911,11067,11189,11301,11413,11507,11615,11739,11855,11933,12377,12533,12715,12947,13111,13237,13347,13465,13559,13661,13743,13875,14025,14149,14263,14383,14479,14585,14709,14823,14905,15033,15229,15419,15553,15663,15785,15879,15987,16111,16227,16307,16931,17103,17301,17467,17619,17745,17859,17943,18071,18261,18457,18561,18645,18777,18937,19065,19175,19301,19395,19507,19625,19743,19827
1017,1453,1631,1879,2027,2205,2449,2633,2827,3035,3213,3383,3483,3549,3725,3879,4149,4305,4479,4583,4653,4823,4969,5093,5201,5307,5403,5519,5585,5729,5877,5997,6097,6199,6297,6411,6479,6647,6815,7011,7135,7273,7375,7469,7541,7691,7851,8035,8205,8333,8405,8547,8697,8815,8923,8983,9139,9297,9467,9695,9831,9979,10101,10211,10315,10407,10559,10669,10763,10835,10989,11143,11263,11371,11475,11569,11713,11831,11925,11993,12431,12585,12867,13021,13187,13315,13417,13525,13617,13733,13801,13959,14103,14227,14333,14447,14541,14689,14797,14895,14965,15115,15281,15473,15633,15737,15847,15943,16091,16197,16297,16367,16983,17159,17399,17549,17699,17827,17935,18001,18151,18309,18509,18637,18709,18857,19015,19145,19253,19367,19463,19605,19715,19817,19887
