h,e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,e,c,b,k,h,h,j,d,d,c,b,k,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,f,e,h,h,j,d,d,c,b,k,f,f,c,b,k,h,e,c,b,k,f,f,c,b
1197,1353,1517,1669,1845,1989,2093,2175,2335,2485,2603,2709,2823,2917,3021,3103,3249,3411,3535,3637,3759,3853,3955,4077,4195,4279,4429,4677,4785,4865,4995,5189,5363,5493,5593,5719,5837,5917,6053,6227,6313,6455,6607,6733,6841,6923,7047,7223,7345,7453,7571,7665,7775,7855,7985,8143,8225,8535,8695,8811,8915,9035,9147,9229,9371,9523,9645,9753,9837,9987,10687,10859,10957,11037,11163,11319,11441,11549,11637
1229,1395,1549,1731,1885,2057,2157,2227,2405,2557,2673,2775,2881,2971,3087,3157,3321,3487,3609,3703,3817,3909,4053,4169,4259,4331,4503,4727,4853,4921,5073,5235,5413,5549,5697,5807,5903,5973,6127,6297,6361,6527,6683,6809,6905,6973,7125,7299,7421,7523,7633,7723,7841,7909,8063,8221,8261,8589,8749,8873,9021,9127,9213,9283,9445,9601,9719,9825,9893,10067,10729,10905,11025,11093,11241,11397,11519,11623,11691
