h,e,e,h,f,c,b,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,h,h,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b
1433,1615,1803,1977,2113,2219,2295,2529,2729,2923,3059,3167,3253,3385,3535,3667,3777,3893,3989,4095,4177,4307,4465,4589,4701,4817,4915,5021,5139,5251,5333,5463,5621,5741,5855,5975,6071,6175,6299,6415,6497,6643,6813,6943,7061,7399,7549,7677,7785,7903,7999,8103,8231,8345,8427,8585,8749,8879,9003,9127,9225,9329,9455,9571,9651,9805,9969,10109,10535,10711,10845,10991,11103,11185,11401,11557,11681,11799,11913,12011,12119,12241,12357,12437,12573,12731,12859,12975,13061
1459,1661,1855,2011,2179,2281,2351,2579,2823,2967,3133,3237,3305,3457,3605,3735,3847,3951,4043,4161,4231,4381,4537,4661,4767,4877,4973,5111,5225,5311,5383,5537,5691,5815,5925,6033,6129,6271,6383,6481,6551,6717,6885,7013,7127,7439,7597,7749,7855,7965,8057,8207,8319,8413,8479,8661,8823,8951,9071,9187,9285,9433,9539,9641,9707,9881,10043,10177,10585,10759,10897,11067,11173,11243,11479,11631,11757,11871,11975,12073,12219,12327,12423,12489,12651,12807,12937,13041,13115
