e,h,e,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,k,f,f,c,g,j,c,b,k,f,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,e,h,f,f,c,g,j,c,b,k,f,f
727,879,1053,1301,1829,1993,2135,2237,2321,2493,2647,2773,2879,2999,3089,3195,3271,3403,3597,3783,3883,3967,4091,4243,4365,4477,4593,4687,4791,4911,5025,5103,5293,5453,5579,5687,5805,5897,6003,6123,6239,6319,6709,6861,7047,7233,7385,7509,7621,7737,7831,7939,8017,8141,8299,8421,8551,8663,8781,8877,8983,9061,9189,9391,9559,9679,9783,9903,10015,10099,10237,10453,10587,10729,10851,10959,11075,11169,11279,11359,11507,11665,11793
757,909,1097,1379,1857,2025,2203,2295,2371,2565,2717,2843,2943,3047,3141,3255,3323,3479,3639,3829,3951,4017,4161,4319,4439,4541,4649,4739,4887,4997,5087,5153,5361,5521,5647,5757,5861,5955,6097,6211,6301,6367,6749,6903,7157,7307,7461,7585,7685,7795,7887,7999,8069,8217,8373,8493,8625,8729,8839,8931,9045,9113,9265,9437,9609,9735,9879,9991,10081,10149,10307,10501,10633,10805,10927,11029,11133,11225,11347,11409,11583,11741,11865
