h,h,h,e,h,h,k,f,c,b,k,f,f,c,g,j,c,b,h,e,e,h,f,c,b,k,f
19,175,1985,2185,2471,2621,2781,2925,3029,3111,3245,3393,3511,3621,3733,3827,3935,4013,4811,4977,5147,5295,5429,5529,5611,5737,5891
75,235,2035,2253,2517,2677,2849,2999,3105,3175,3331,3469,3587,3691,3795,3887,4003,4071,4859,5031,5205,5345,5501,5601,5671,5815,5967
