h,e,h,h,h,h,e,e,h,f,c,b,k,f,h,h,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,d,c,b,k,f,f,f,c,g,j,c,b,k,h,e,c,b,k,f,f,c,g,j,c,b,k,c,g,j,d,d,c,b,k
457,611,853,1395,1579,1817,1979,2193,2347,2481,2597,2679,2807,2965,3423,3601,3761,3931,4043,4125,4253,4401,4525,4633,4749,4841,4945,5063,5177,5257,5387,5575,5769,5887,5991,6111,6233,6347,6431,6561,6719,6841,6971,7081,7199,7293,7399,7477,7599,7933,8105,8215,8299,8427,8585,8713,8821,8937,9029,9133,9217,9349,9535,9651,9743,9845,9967,10085,10163,10303
487,665,883,1427,1613,1847,2039,2251,2395,2555,2659,2729,2879,3039,3471,3649,3811,3985,4111,4181,4329,4475,4601,4699,4805,4897,5045,5149,5247,5309,5463,5623,5823,5943,6091,6203,6323,6415,6481,6635,6793,6917,7045,7149,7259,7351,7465,7529,7675,7985,8159,8283,8357,8505,8657,8789,8887,8995,9085,9197,9267,9425,9605,9705,9799,9943,10055,10151,10215,10379
