e,e,k,f,f,c,b,k,h,h,h,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,h
1415,1619,1833,1993,2119,2235,2317,2443,2635,2801,2977,3133,3331,3487,3627,3733,3815,3949,4099,4231,4345,4459,4553,4661,4781,4901,4983,5135,5343,5517,5629,5711,5861,6027,6149,6263,6379,6473,6579,6699,6815,6899,7031,7187,7327,7441,7523,7665,7895,8067,8189,8291,9263
1459,1711,1903,2065,2195,2295,2365,2521,2683,2851,3021,3187,3383,3541,3701,3801,3867,4025,4173,4303,4413,4519,4609,4759,4873,4965,5035,5211,5391,5571,5699,5771,5939,6099,6223,6331,6435,6527,6675,6789,6879,6949,7105,7261,7403,7511,7575,7743,7945,8121,8247,8349,9299
