h,e,h,e,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b,k,f,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,h,h,h,h,h,e,k,f,f,c,b,k,h,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f
1511,1665,1845,1991,2233,2385,2647,2861,2999,3099,3179,3351,3493,3633,3743,3861,3953,4055,4173,4287,4363,4575,4749,4887,5007,5111,5225,5317,5423,5545,5655,5733,5861,6021,6149,6293,6401,6481,6613,6769,6895,7003,7115,7209,7311,7431,7545,7623,7777,7975,8165,8351,8543,8747,8899,9021,9133,9251,9347,9455,9577,9687,9769,9909,10073,10195,10311,10391,10521,10743,10905,11019,11123,11247,11359,11439,11603,11789,11975,12141,12385,12541,12741,12913,13065,13191,13301,13383,13507,13691,14317,14475,14623,14747,14855,14941,15073,15225,15351,15459,15577,15671,15779,15903,16019,16103,16237,16399
1537,1731,1871,2055,2263,2431,2765,2907,3071,3171,3237,3417,3563,3707,3807,3921,4013,4151,4255,4353,4417,4629,4801,4961,5081,5185,5287,5379,5521,5625,5723,5789,5941,6095,6225,6365,6469,6537,6695,6843,6967,7073,7175,7269,7409,7517,7613,7679,7855,8027,8261,8405,8653,8821,8975,9095,9205,9315,9409,9553,9667,9757,9823,9987,10151,10273,10381,10451,10601,10797,10961,11081,11225,11331,11427,11497,11681,11839,12031,12197,12439,12599,12837,12991,13143,13269,13373,13443,13587,13743,14367,14527,14697,14823,14927,14995,15155,15303,15425,15531,15637,15731,15881,15991,16093,16165,16319,16477
