e,e,h,f,f,c,g,j,d,d,c,b,h,f,f,c,g,j,d,d,c,b,k,f,f,h,h,e,h,f,c,b,k,f,f,c,g,j,c,e,k,f,f,c,g,j,d,d,c,b,k,e,h,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,f,f,c,b,k,h,h,j,d,d,c,b
1289,1609,1827,1995,2113,2219,2335,2427,2541,2661,2773,2853,3095,3273,3391,3493,3613,3707,3815,3933,4045,4123,4253,4413,4545,4887,5045,5235,5463,5619,5721,5807,5937,6087,6215,6333,6445,6541,6649,6891,7061,7213,7337,7443,7563,7657,7759,7883,7997,8075,8229,8455,8631,8757,8861,8977,9071,9179,9257,9381,9533,9655,9763,9845,9971,10175,10357,10479,10583,10705,10819,10897,11047,11201,11333,11447,11569,11665,11767,11887,12001,12081,12279,12471,12933,13095,13231,13349,13455,13539,13675,13847,14047,14165,14271,14389,14503,14583
1331,1653,1855,2059,2177,2283,2387,2481,2635,2745,2833,2905,3143,3345,3463,3557,3671,3769,3909,4017,4109,4175,4329,4481,4613,4941,5097,5349,5513,5691,5793,5861,6011,6157,6289,6401,6509,6601,6723,6989,7137,7285,7407,7515,7619,7713,7857,7971,8063,8129,8305,8513,8671,8831,8927,9033,9127,9241,9311,9455,9607,9729,9831,9897,10047,10227,10405,10535,10685,10793,10885,10955,11119,11277,11409,11519,11629,11723,11867,11971,12065,12135,12351,12519,12975,13145,13305,13425,13523,13593,13751,13897,14095,14223,14367,14481,14575,14635
