e,e,h,e,e,h,h,h,h,h,f,c,b,k,f,f,c,g,j,c,b,k,e,h,h,e,k,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,c,b,k,f,h,e,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,h,e,k,f,f,c,g,j,c,b,k,c
1819,2141,2311,2471,2659,2845,3053,3249,3443,3623,3753,3865,3943,4067,4219,4341,4451,4573,4663,4765,4847,4973,5159,5303,5469,5639,5805,5991,6101,6193,6295,6415,6531,6613,6881,7025,7147,7259,7369,7463,7567,7647,7775,7927,8047,8157,8271,8363,8469,8589,8701,8781,8907,9101,9289,9389,9473,9593,9755,9887,9995,10107,10199,10303,10425,10539,10623,10743,10963,11171,11329,11479,11601,11705,11821,11913,12019,12147,12259,12343,12811,12989,13093,13175,13301,13449,14263,14439,14551,14655,14779,14891,14971,15099,15249,15371,15479,15593,15687,15795,15917,16039,16117,16273,16451,16625,16745,16851,16971,17085,17167,17353,17539,17743,17887,18037,18157,18267,18383,18479,18585,18665,18801,18975
1879,2195,2341,2525,2713,2891,3093,3283,3491,3671,3825,3933,3999,4143,4291,4413,4519,4627,4717,4831,4903,5049,5209,5351,5517,5757,5871,6059,6161,6251,6395,6501,6597,6665,6955,7099,7223,7329,7429,7519,7633,7703,7851,8003,8123,8225,8329,8419,8565,8677,8771,8835,8983,9145,9335,9463,9525,9675,9831,9963,10067,10165,10257,10401,10513,10609,10673,10823,11013,11271,11405,11553,11675,11779,11881,11975,12123,12233,12327,12397,12865,13045,13167,13231,13383,13527,14295,14495,14609,14755,14861,14955,15023,15177,15323,15447,15553,15655,15747,15901,16005,16103,16169,16347,16501,16677,16807,16955,17057,17153,17221,17431,17587,17841,17959,18111,18235,18337,18445,18537,18653,18721,18881,19043
