h,h,h,e,h,f,c,b,k,h,e,h,h,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,f,f,c,b,k,f,k,h,f,c,g,j,d,d,c,b,k,h,h,f,c,b,k,h,f,f,c,b,k,f,c,g,j,d,d,c,b
1119,1469,1665,1835,1979,2129,2231,2313,2499,2721,2905,3033,3257,3395,3495,3573,3697,3881,4035,4153,4251,4369,4479,4555,4713,4865,4985,5093,5203,5297,5401,5519,5635,5711,5991,6131,6233,6351,6449,6555,6679,6789,6869,7019,7217,7399,7561,7713,7839,7945,8027,8155,8313,8435,8545,8627,8777,8929,9093,9397,9549,9659,9775,9871,9973,10095,10213,10291,10451,10669,10835,10973,11077,11159,11301,11489,11643,11767,11877,11957,12089,12259,12369,12487,12581,12685,12807,12919,12999
1155,1505,1691,1889,2027,2199,2295,2365,2577,2777,2955,3091,3313,3469,3563,3631,3775,3933,4089,4215,4349,4453,4545,4611,4785,4939,5059,5161,5267,5357,5501,5605,5705,5771,6043,6205,6313,6413,6511,6655,6765,6853,6925,7095,7265,7499,7639,7789,7915,8019,8085,8233,8389,8509,8617,8687,8855,9007,9171,9455,9627,9731,9839,9931,10077,10187,10283,10351,10531,10719,10891,11047,11149,11221,11383,11547,11721,11845,11949,12019,12175,12337,12445,12551,12643,12785,12889,12991,13059
