e,e,e,h,e,h,h,h,f,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,h,f,c,g,j,c,b,k,f,f,e,j,f,f,c,b,k,f,f,c,b,k,h
1283,1483,1801,1985,2129,2385,2565,2761,2911,3015,3093,3237,3395,3509,3621,3705,3841,3993,4129,4243,4357,4453,4561,4681,4797,4879,5027,5211,5389,5553,5687,5819,5927,6045,6143,6249,6329,6463,6615,6741,6937,7133,7295,7423,7531,7617,7751,7919,8053,8165,8249,8389,8641
1323,1585,1891,2031,2207,2433,2615,2807,2987,3081,3151,3313,3469,3587,3693,3767,3919,4071,4209,4315,4419,4517,4667,4773,4871,4941,5105,5265,5445,5617,5745,5899,6001,6105,6203,6317,6387,6543,6695,6823,7063,7217,7375,7505,7605,7677,7831,7997,8131,8237,8307,8479,8695
