h,e,h,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1841,1973,2425,2593,2769,2913,3015,3095,3241,3393,3513,3621,3745,3837,3943,4069,4183,4263,4399,4551,4669,4785,4899,4993,5099,5175,5325,5479,5605,5713,5827,5921,6027,6153,6265,6345,6479,6635,6767,6879,6993,7089,7201,7329,7443,7521,7667,7857,8023,8143,8245,8363,8481,8561
1873,2043,2475,2645,2827,2987,3087,3155,3321,3467,3587,3695,3805,3895,4041,4155,4253,4321,4477,4623,4745,4861,4961,5057,5169,5241,5411,5555,5677,5785,5889,5991,6123,6235,6339,6407,6559,6711,6843,6951,7055,7155,7297,7417,7517,7575,7749,7909,8081,8203,8345,8453,8555,8621
