e,e,h,h,h,h,h,f,h,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,f,f,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e
849,1183,1415,1785,1983,2229,2413,2567,2953,3141,3283,3397,3479,3631,3791,3955,4065,4183,4279,4387,4517,4629,4707,5389,5561,5699,6035,6215,6395,6555,6715,6853,6959,7041,7191,7353,7477,7587,7697,7793,7895,8017,8137,8215,8721,8909
911,1249,1455,1833,2029,2277,2457,2645,2999,3189,3357,3467,3535,3703,3869,4031,4135,4245,4341,4487,4601,4697,4765,5439,5639,5775,6091,6277,6457,6623,6771,6931,7035,7105,7273,7431,7557,7657,7757,7853,7999,8109,8207,8275,8773,9035
