d,d,c,b,k,f,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
69,199,311,389,539,697,1981,2139,2295,2435,2541,2623,2753,2899,3025,3141,3251,3343,3451,3533,3659,3863,4035,4159,4261,4381,4497,4579
175,281,379,449,617,771,2031,2203,2343,2507,2611,2675,2831,2977,3107,3207,3313,3405,3519,3583,3737,3911,4081,4217,4359,4471,4563,4633
