e,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,e,k,e,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,h,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b
1261,1685,1823,1983,2135,2233,2315,2491,2647,2769,2877,2993,3089,3193,3271,3445,3657,3879,4013,4231,4331,4415,4547,4697,4815,4925,5005,5139,5297,5423,5527,5647,5739,5843,5923,6067,6273,6459,6603,6727,6829,6949,7061,7139,7685,7987,8069,8193,8339,8461,8567,8655,8779,8945,9059,9167,9285,9381,9483,9565,9689,9889,10063,10175,10277,10399,10513,10597
1347,1713,1875,2027,2199,2295,2363,2561,2719,2839,2941,3045,3141,3255,3321,3515,3701,3909,4069,4267,4397,4467,4621,4769,4889,4993,5055,5211,5371,5495,5597,5705,5795,5909,5973,6141,6319,6509,6655,6783,6929,7033,7123,7191,7727,8051,8115,8267,8413,8535,8631,8701,8853,9015,9133,9235,9343,9431,9549,9613,9765,9937,10111,10229,10383,10489,10575,10645
