h,h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,e,h,f,c,b,j,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,h,h,k,f,f,c,b,k,h,h,j,d,d,c,b,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1157,1819,1993,2257,2299,2541,2697,2797,2877,3037,3203,3321,3425,3535,3629,3735,3857,3969,4045,4181,4337,4475,4579,4699,4791,4899,5015,5125,5203,5357,5567,5815,6001,6173,6309,6415,6499,6631,6787,6909,7017,7133,7225,7329,7449,7575,7657,7793,8005,8213,8399,8555,8677,8783,8895,8991,9097,9215,9331,9411,9717,9901,10325,10473,10611,10765,10885,10997,11077,11217,11397,11579,11701,11799,11923,12039,12119,12557,12731,12839,12921,13047,13207,13329,13435,13517,13675,13883,14067,14193,14293,14417,14529,14611
1185,1849,2029,2295,2377,2587,2767,2859,2929,3109,3273,3389,3489,3595,3683,3831,3935,4029,4095,4251,4407,4547,4645,4755,4849,4995,5095,5191,5257,5433,5617,5861,6049,6221,6383,6483,6551,6707,6863,6983,7087,7193,7287,7427,7547,7643,7709,7871,8053,8325,8473,8629,8753,8851,8955,9049,9197,9301,9397,9469,9765,9999,10373,10523,10695,10843,10961,11063,11131,11291,11447,11627,11759,11903,12015,12105,12169,12607,12777,12907,12975,13127,13283,13405,13503,13567,13751,13931,14117,14247,14391,14507,14597,14665
