e,h,e,h,e,e,h,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,f,f,f,c,g,j,c,b,h,h,h,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,k,f,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b
1839,1991,2129,2303,2471,2675,2873,3081,3233,3341,3419,3547,3707,3835,3947,4063,4157,4259,4335,4479,4689,4857,4979,5081,5197,5315,5393,5547,5709,5833,5943,6059,6153,6259,6337,6471,6631,6749,6865,6991,7085,7193,7273,7745,7915,8071,8203,8323,8431,8513,8641,8795,8927,9041,9159,9261,9387,9505,9623,9703,9855,10073,10241,10359,10461,10583,10701,10783,10913,11067,11571,11721,11897,12011,12095,12225,12375,12499,12609,12695,12823,13025,13207,13323,13427,13545,13663,13743
1881,2031,2199,2351,2533,2739,2921,3131,3309,3413,3483,3631,3787,3915,4019,4123,4223,4331,4397,4565,4745,4913,5037,5179,5285,5385,5455,5631,5783,5911,6013,6123,6215,6327,6397,6553,6707,6827,6935,7055,7153,7265,7333,7795,7967,8127,8279,8405,8501,8577,8727,8871,9003,9119,9223,9329,9485,9593,9697,9767,9945,10131,10301,10421,10563,10673,10773,10845,11001,11145,11619,11775,11953,12085,12151,12303,12451,12577,12679,12751,12905,13073,13255,13383,13529,13637,13731,13801
