e,e,h,h,h,e,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b,k,h,h,e,h,e,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k,f,f,c,b
1239,1829,1989,2227,2425,2587,2761,2963,3113,3243,3347,3431,3561,3753,3917,4035,4137,4259,4375,4457,4621,4775,4897,5027,5111,5239,5393,5525,5635,5717,5891,6087,6249,6369,6471,6593,6711,6791,6929,7099,7229,7357,7435,7575,7743,7865,7981,8065,8197,8387,8567,8745,8921,8983,9169,9325,9449,9561,9679,9777,9885,9967,10113,10281,10409,10519,10603,10751,10957,11131,11247,11349,11473,11585,11667,11847,12015,12143,12263,12347,12523,12689,12815,12923,13011
1307,1859,2021,2259,2455,2623,2873,3033,3189,3317,3415,3485,3633,3799,3965,4089,4237,4345,4437,4509,4691,4849,4973,5093,5161,5315,5467,5601,5703,5775,5965,6133,6297,6419,6571,6685,6777,6845,7007,7173,7307,7421,7493,7651,7819,7941,8049,8115,8279,8437,8619,8799,8981,9039,9243,9401,9529,9635,9743,9839,9957,10027,10195,10359,10483,10583,10653,10829,11003,11179,11299,11447,11557,11651,11725,11927,12091,12223,12327,12397,12599,12765,12889,12997,13067
