f,h,e,h,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,h,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,e
19,759,985,1437,1607,1767,1959,2135,2265,2367,2449,2581,2739,2863,2971,3087,3183,3287,3369,3715,3849,3953,4065,4159,4263,4391,4501,4583,4717,4907,5091,5265,5419,5537,5653,5769,5867,5973,6091,6203,6283,6437,6589,6721,6835,6919,7167
73,793,1053,1471,1639,1829,2019,2177,2335,2439,2505,2655,2815,2935,3039,3145,3241,3355,3425,3763,3923,4021,4121,4215,4363,4477,4571,4643,4793,4957,5199,5337,5497,5617,5723,5831,5923,6069,6181,6273,6343,6515,6665,6799,6905,6973,7251
