e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,f,c,g,j,d,d,c,b,k,f,f,h,k,h,h,h,j,d,d,c,b,k,k,e,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,h,h,e,h,f,c,b,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f
2003,2151,2307,2503,2675,2815,2917,2995,3127,3285,3403,3515,3619,3713,3817,3941,4055,4131,4263,4427,4569,4675,4791,4883,4987,5107,5213,5291,5445,5601,5723,5833,5915,6079,6271,6441,6571,6675,6789,6881,6985,7103,7221,7297,7467,7613,7735,8111,8279,8423,8673,8817,8935,9035,9153,9267,9351,9475,9641,9833,9933,10015,10141,10289,10409,10525,10605,10735,10887,11011,11123,11237,11329,11433,11561,11673,11755,11901,12055,12185,12289,12407,12503,12607,12729,12849,12929,13371,13525,13717,13855,13991,14101,14185,14311,14459,14583,14693,14775,14913,15107,15267,15389,15491,15611,15721,15801,15933,16089
2037,2181,2359,2547,2709,2881,2975,3043,3193,3351,3471,3575,3675,3769,3913,4023,4115,4183,4337,4495,4639,4741,4851,4937,5083,5187,5275,5341,5517,5673,5795,5899,5965,6151,6319,6491,6645,6743,6849,6937,7083,7189,7285,7349,7537,7689,7807,8163,8321,8471,8721,8867,8987,9131,9239,9331,9399,9547,9693,9877,10003,10069,10215,10361,10481,10593,10659,10809,10961,11085,11189,11297,11387,11531,11645,11741,11805,11975,12129,12261,12353,12465,12559,12707,12815,12913,12983,13417,13575,13769,13899,14069,14171,14241,14391,14537,14657,14761,14827,14989,15153,15317,15443,15589,15697,15787,15847,16011,16161
