h,h,h,h,f,f,f,c,g,j,d,d,c,b,k,f,k,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,f,h,h,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,e,c,b,k,f,f,c,b,k,c,g,j,d,d,c,b,h,h,h,e,k,f,f,c,b,k,h,h,j,d,d,c,b,k,f,f,c,b,k
1113,1993,2253,2425,2569,2691,2823,2929,3039,3137,3245,3361,3473,3555,3739,3893,4057,4231,4339,4433,4539,4661,4773,4855,4999,5157,5283,5393,5479,5607,5787,5953,6101,6231,6463,6655,6833,7003,7105,7189,7315,7465,7587,7693,7809,7907,8011,8093,8219,8369,8489,8599,8681,8807,9005,9469,9665,9803,9963,10085,10195,10311,10407,10511,10591,10715,10869,10995,11113,11231,11329,11435,11515,11653,11863,12033,12215,12325,12407,12535,12685,12809,12917,13003,13155,13333,13441,13537,13641,13765,13879,13961,14609,14791,14967,15161,15351,15495,15625,15733,15817,15943,16139,16317,16435,16539,16659,16773,16857,16997,17155,17285,17393,17477,17607
1139,2025,2281,2463,2635,2765,2893,2989,3095,3187,3339,3441,3531,3605,3809,3961,4131,4291,4397,4487,4635,4745,4839,4907,5069,5231,5355,5459,5529,5679,5829,5999,6147,6305,6511,6705,6883,7047,7173,7239,7391,7537,7655,7757,7871,7957,8071,8143,8289,8441,8563,8665,8733,8883,9053,9519,9751,9877,10039,10159,10263,10373,10463,10567,10637,10791,10939,11067,11187,11293,11385,11501,11571,11733,11911,12083,12267,12397,12461,12609,12759,12881,12989,13053,13227,13391,13497,13591,13739,13851,13945,14017,14647,14827,15005,15265,15429,15571,15695,15801,15865,16019,16189,16361,16491,16637,16747,16841,16903,17067,17229,17359,17457,17527,17683
