h,e,h,e,e,h,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,b,k,h,h,j,d,c,b,k,f,f,c,g,j,c,b,k,h,h,f,f,c,g,j,d,d,c,b
1981,2119,2277,2451,2629,2775,2911,3013,3085,3217,3401,3593,3741,3885,4005,4115,4231,4319,4423,4535,4645,4721,4851,5001,5127,5245,5349,5445,5549,5667,5779,5857,5991,6145,6277,6387,6505,6595,6699,6777,6899,7053,7173,7279,7393,7483,7589,7665,7795,7977,8143,8303,8423,8521,8635,8749,8831,8975,9127,9253,9365,9481,9573,9677,9797,9911,9991,10123,10279,10399,10507,10593,10723,10919,11111,11283,11475,11623,11773,11897,12003,12123,12217,12323,12439,12555,12639,12791,13087,13253,13437,13555,13657,13775,13893,13971,14193,14371,14549,14677,14779,14903,15017,15097,15413,15575,15775,15897,15977,16101,16253,16375,16481,16565,16787,16985,17175,17305,17413,17529,17613,17791,17947,18073,18181,18299,18391,18499,18577,18701,18921,19095,19233,19367,19475,19595,19691,19797,19927,20047,20125
2011,2173,2313,2497,2677,2821,2977,3073,3139,3289,3443,3687,3811,3955,4075,4177,4283,4373,4513,4615,4711,4773,4925,5075,5201,5309,5409,5503,5649,5755,5841,5913,6065,6217,6347,6453,6565,6657,6767,6835,6977,7127,7245,7347,7455,7541,7655,7723,7875,8027,8197,8355,8481,8611,8719,8813,8883,9049,9201,9329,9435,9541,9635,9775,9883,9979,10045,10199,10353,10473,10575,10647,10805,10967,11161,11341,11573,11701,11849,11971,12071,12183,12275,12419,12527,12629,12693,12867,13135,13307,13489,13617,13753,13861,13963,14029,14269,14419,14607,14739,14879,14997,15085,15151,15459,15623,15827,15969,16031,16181,16329,16451,16551,16625,16871,17037,17227,17369,17499,17601,17669,17869,18025,18147,18249,18359,18451,18565,18637,18783,18975,19147,19307,19445,19549,19655,19749,19893,20013,20117,20187
