e,h,e,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,j,d,d,c,e,k,f,f,c,b,k,c,g,j,d,d,c,b,k,f,f,c,h,h,f,c,b,k,f,f,c,b,k,h,h,e,k,f,f,c,g,j,c,b,k,f,c,g,j,c,b,k
1037,1199,1345,1549,1689,1853,1995,2101,2183,2313,2475,2599,2711,2825,2923,3029,3149,3259,3341,3485,3675,3847,4003,4125,4225,4347,4461,4543,4701,4855,4985,5093,5207,5301,5405,5487,5613,5771,5899,6007,6123,6219,6325,6451,6565,6647,6779,6937,7063,7169,7255,7405,7599,7767,7881,7983,8103,8219,8531,8703,8859,8983,9089,9177,9305,9485,9595,9691,9797,9927,10039,10123,10273,10431,10563,10673,11005,11167,11321,11429,11513,11647,11799,11925,12043,12129,12255,12461,12625,12835,13005,13161,13283,13393,13511,13607,13715,13797,13947,14117,14233,14359,14455,14563,14647,14815
1063,1227,1393,1583,1747,1899,2061,2165,2237,2385,2545,2671,2773,2881,2977,3123,3235,3323,3389,3559,3721,3893,4053,4177,4321,4437,4525,4593,4771,4929,5055,5161,5267,5359,5463,5535,5689,5839,5969,6077,6183,6277,6423,6537,6631,6695,6853,7015,7137,7235,7301,7481,7647,7813,7933,8081,8191,8279,8631,8779,8931,9057,9159,9223,9381,9547,9657,9749,9897,10013,10109,10177,10347,10503,10639,10743,11053,11217,11397,11497,11567,11723,11875,12001,12111,12181,12327,12511,12675,12917,13083,13237,13361,13465,13573,13663,13783,13851,14025,14191,14305,14419,14513,14629,14701,14891
