h,h,e,h,f,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,h,h,f,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,e,k,h,h,h,e,c,b,k,f,f,c,h,h,f,f,c,g,j,c,b,k,f,f,c,b,k,h,j,d,d,c,b,h,h,h,h,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b
1993,2137,2303,2457,2575,2673,2751,2883,3025,3143,3245,3357,3449,3549,3625,3743,3921,4073,4193,4291,4413,4523,4603,4733,4883,5011,5113,5229,5325,5427,5507,5939,6085,6217,6319,6399,6519,6707,6905,7055,7201,7317,7443,7549,7641,7747,7867,7977,8057,8347,8537,8763,9583,9969,10121,10309,10409,10489,10609,10755,10877,10977,11301,11451,11577,11693,11799,11915,12009,12109,12191,12331,12489,12613,12717,12801,12927,13119,13243,13345,13463,13573,13655,14011,14163,14357,14503,14695,14815,14923,15043,15137,15243,15363,15477,15555,15693,15915,16091,16217,16319,16441,16551,16633
2029,2181,2349,2491,2643,2735,2801,2955,3097,3211,3309,3415,3503,3611,3677,3815,3961,4121,4239,4389,4495,4583,4653,4807,4955,5087,5181,5287,5383,5493,5565,5977,6131,6287,6383,6451,6591,6753,6987,7125,7275,7389,7501,7605,7695,7841,7949,8039,8103,8395,8631,8837,9623,9995,10165,10353,10471,10535,10681,10827,10949,11041,11345,11497,11649,11765,11869,11973,12063,12169,12235,12403,12561,12683,12783,12851,12999,13165,13297,13441,13549,13639,13703,14055,14207,14395,14553,14769,14891,14987,15095,15193,15339,15449,15541,15607,15765,15961,16141,16271,16417,16525,16617,16685
