f,h,h,h,h,e,h,f,c,g,j,c,b,k,f,f,c,b,k
19,429,703,861,1623,1795,2135,2269,2375,2493,2591,2699,2781,2919,3071,3203,3319,3405,3527
95,477,745,911,1649,1843,2181,2339,2441,2553,2647,2763,2827,2997,3147,3279,3385,3455,3607
