j,g,j,c,b,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,c,b,k,f,f,f,c,b,k,h,h,j,d,d,c,b,h,h,e,c,b,k,f,f,c,g,j,c,b,k
7,91,183,289,369,749,1807,1969,2221,2415,2559,2667,2749,2875,3031,3157,3267,3381,3477,3583,3705,3819,3903,4041,4239,4413,4537,4639,4759,4869,4955,5299,5447,5619,5729,5811,5935,6085,6209,6319,6433,6527,6633,6715,6837,6991,7113,7237,7345,7431,7575,7767,7927,8043,8147,8269,8389,8469,9009,9183,9371,9483,9563,9691,9845,9965,10077,10189,10285,10391,10471,10597
35,149,245,353,421,865,1843,2023,2317,2465,2627,2735,2801,2951,3107,3231,3333,3439,3531,3683,3789,3879,3955,4115,4287,4465,4587,4733,4843,4935,5009,5347,5503,5667,5797,5865,6009,6163,6283,6387,6491,6583,6695,6765,6913,7065,7187,7311,7411,7479,7647,7819,7975,8103,8245,8359,8453,8525,9057,9235,9419,9551,9621,9767,9921,10039,10147,10251,10341,10457,10525,10675
