e,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,c,b,h,h,j,d,d,c,b,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,e,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,k,j,d,d,c,b,h,h,e,k,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,b,k,h,h,f,f,c,g,j,d,d,c,b,h,h,f,f,c,b,k,k,h,e,k,f,f,c,b
673,955,1283,1457,1629,1811,1983,2127,2231,2313,2459,2619,2763,2871,2981,3077,3183,3263,3509,3663,3791,3891,4013,4129,4207,4647,4835,5003,5147,5271,5383,5499,5593,5699,5815,5931,6015,6167,6331,6457,6569,6685,6777,6879,6959,7091,7277,7471,7627,7773,7899,8003,8125,8219,8327,8405,8539,8691,8813,8921,9035,9129,9233,9357,9473,9555,9867,10033,10155,10257,10377,10497,10579,10969,11133,11325,11561,11699,11805,11917,12013,12119,12241,12357,12439,12571,12769,12973,13139,13289,13409,13523,13609,13743,13949,14145,14275,14395,14503,14629,14723,14831,14959,15073,15159,15563,15731,15883,16005,16119,16203,16367,16585,16815,17027,17191,17341,17467,17575,17663
783,1019,1339,1489,1679,1857,2027,2195,2295,2361,2531,2689,2835,2947,3039,3131,3247,3311,3553,3711,3845,3991,4103,4195,4257,4695,4935,5077,5219,5343,5447,5559,5647,5797,5907,5991,6065,6245,6405,6531,6639,6743,6835,6943,7009,7165,7321,7559,7701,7851,7973,8069,8187,8279,8391,8455,8613,8767,8887,8987,9091,9183,9329,9445,9537,9605,9913,10079,10207,10355,10467,10559,10621,11005,11175,11455,11607,11771,11877,11975,12071,12221,12327,12423,12491,12647,12817,13079,13217,13367,13487,13589,13659,13825,14003,14197,14347,14471,14573,14689,14781,14935,15045,15143,15207,15613,15781,15961,16083,16189,16255,16447,16663,16869,17117,17265,17415,17541,17647,17717
