h,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,k,h,h,e,c,b,k,h,e,k,f,f,c,g,j,d,d,c,b,h,h,f,f,c,g,j,d,d,c,b
1855,2159,2295,2501,2683,2829,2929,3011,3153,3313,3435,3541,3653,3745,3851,3969,4081,4159,4309,4495,4675,4827,4975,5095,5209,5327,5421,5523,5639,5751,5831,5991,6175,6367,6525,6677,6793,6899,7015,7109,7217,7337,7451,7531,7659,7811,7937,8049,8169,8265,8371,8493,8613,8691,8845,9043,9233,9419,9577,9697,9805,9933,10025,10129,10253,10369,10449,10585,10775,10975,11145,11255,11335,11457,11655,11843,12047,12199,12327,12439,12555,12651,12759,12883,13005,13085,13437,13605,13743,13867,13977,14103,14199,14311,14433,14551,14633
1885,2189,2351,2551,2721,2893,2995,3063,3223,3381,3505,3607,3703,3801,3943,4051,4145,4211,4383,4543,4777,4903,5047,5165,5277,5385,5475,5617,5721,5811,5881,6065,6219,6467,6601,6749,6867,6965,7073,7165,7311,7423,7519,7575,7737,7885,8011,8117,8231,8327,8469,8579,8681,8749,8923,9093,9347,9495,9651,9771,9877,9989,10083,10229,10337,10437,10505,10663,10825,11023,11193,11325,11393,11535,11707,11993,12125,12275,12403,12507,12617,12711,12855,12971,13069,13139,13489,13659,13819,13941,14053,14167,14263,14411,14521,14615,14685
