h,h,f,c,b,k,f,f,f,c,g,j,c,b,k,h,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,g,j,d,d,c,b,k,h,h,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,g,j,c,b,k,h,h,h,j,d,c,b
1489,1675,1995,2097,2175,2331,2495,2615,2735,2837,2955,3049,3153,3233,3361,3543,3673,3789,3901,4011,4107,4205,4319,4429,4505,4631,4785,4909,5017,5101,5239,5401,5519,5627,5735,5829,5933,6049,6167,6243,6651,6813,6941,7073,7185,7297,7391,7497,7615,7725,7805,7937,8127,8283,8405,8523,8637,8749,8843,8947,9065,9177,9257,9399,9547,9673,9787,9903,9997,10103,10219,10335,10417,10555,10711,10835,10943,11055,11149,11255,11333,11483,11667,11867,12027,12151,12251,12373,12455
1517,1703,2059,2157,2225,2399,2559,2681,2801,2899,3003,3099,3215,3279,3431,3583,3745,3863,3967,4071,4157,4297,4401,4491,4555,4701,4857,4977,5083,5149,5309,5471,5591,5695,5795,5883,6029,6131,6227,6293,6683,6855,6985,7147,7249,7355,7443,7589,7699,7789,7857,8011,8173,8331,8481,8601,8709,8807,8899,9045,9151,9245,9311,9471,9617,9745,9855,9959,10051,10199,10307,10399,10467,10627,10783,10907,11009,11111,11205,11321,11391,11559,11713,11915,12075,12205,12347,12439,12503
