e,h,e,e,h,h,h,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,h,h,e,c,b,k,f,f,c,g,j,c,b,k,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,e,c,b,k,f,f,c,g,j,d,d,c,b,k,f,f,c,b,k,h,h,h,j,d,d,c,b,k,h,h,e,h,f,f,c,b,k,f,f,c,b,k,f,f,c,g,j,c,b
1767,1989,2137,2341,2575,2879,3049,3253,3411,3555,3657,3739,3879,4031,4153,4263,4375,4471,4579,4705,4819,4899,5065,5249,5419,5585,5761,5875,5955,6081,6235,6359,6473,6591,6689,6799,6881,7005,7191,7387,7523,7629,7751,7867,7953,8089,8245,8375,8487,8605,8701,8807,8887,9019,9203,9323,9405,9533,9693,9815,9923,10047,10143,10253,10377,10491,10575,10707,10869,10997,11109,11189,11335,11541,11929,12103,12221,12323,12445,12565,12643,13015,13743,13911,14073,14203,14341,14463,14575,14659,14787,14943,15065,15171,15257,15383,15545,15671,15783,15901,15997,16107,16187
1839,2027,2195,2399,2621,2927,3099,3313,3465,3629,3721,3793,3957,4107,4229,4331,4439,4529,4675,4789,4887,4953,5139,5297,5463,5635,5815,5947,6015,6167,6313,6439,6545,6657,6757,6871,6937,7085,7241,7437,7587,7721,7845,7937,8009,8173,8319,8453,8555,8665,8759,8877,8947,9099,9263,9399,9465,9617,9769,9891,9995,10111,10205,10351,10465,10565,10637,10787,10945,11073,11179,11247,11417,11595,11983,12157,12279,12425,12537,12631,12699,13061,13777,13949,14129,14253,14415,14541,14639,14715,14867,15021,15143,15247,15317,15465,15621,15747,15855,15963,16059,16179,16247
