h,e,e,h,e,e,h,f,c,b,k,f,f,c,g,j,d,d,c,b,k,h,e,h,f,c,g,j,d,d,c,b,h,h,j,d,d,c,b,k,f,f,c,g,j,c,b,k,f,f,c,g,j,d,d,c,b,h,e,h,f,c,b
2945,3093,3251,3397,3555,3781,4031,4175,4279,4359,4483,4633,4749,4857,4967,5063,5167,5289,5401,5481,5623,5825,6013,6139,6265,6369,6489,6585,6689,6813,6927,7007,7277,7431,7547,7649,7769,7885,7965,8087,8243,8363,8483,8593,8687,8793,8871,9015,9173,9301,9407,9525,9619,9725,9841,9955,10033,10907,11057,11197,11351,11455,11537
2983,3161,3319,3455,3627,3905,4091,4251,4357,4421,4571,4707,4825,4935,5027,5127,5261,5375,5471,5541,5703,5881,6071,6193,6343,6453,6553,6649,6791,6901,6999,7059,7331,7485,7603,7749,7857,7949,8021,8165,8319,8441,8557,8655,8745,8861,8927,9095,9249,9373,9479,9585,9677,9823,9929,10025,10093,10941,11117,11249,11421,11529,11599
